Datasets\gh-lerna-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\gh-linkerd-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-lottie-web-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-MailHog-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-mailinabox-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-material2-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Regular weight change
Datasets\gh-metabase-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-mobx-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-models-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-mxnet-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-N-blog-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-nativefier-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-neural-style-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-notes-python-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-nuklear-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-nvidia-docker-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-openalpr-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-OpenAPI-Specification-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-OpenFace-m.data;4+ levels;High weight variance;Low insertions and deletions;Low weight change
Datasets\gh-PapaParse-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-postgrest-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-pouchdb-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-PowerShell-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-preact-m.data;2 or 3 levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-primeng-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Spiky weight change
Datasets\gh-pybind11-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
Datasets\gh-python-machine-learning-book-m.data;4+ levels;High weight variance;Spiky insertions and deletions;Low weight change
